"Date","daily_AirTemp_C","daily_RH_percent","daily_Rain_Total_mm","daily_WindSpeed_Average_m_s","daily_WindDir_degrees","daily_ShortwaveRadiationDown_Average_W_m2","daily_InfraredRadiationDown_Average_W_m2","daily_PAR_Average_umol_s_m2"
2014-08-11,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-12,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-14,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-15,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-16,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-17,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-18,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-22,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-23,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-24,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-25,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-26,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-27,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-28,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-29,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-30,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-31,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-01,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-02,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-03,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-04,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-05,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-06,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-07,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-08,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-09,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-10,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-11,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-12,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-13,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-14,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-15,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-16,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-17,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-18,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-19,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-20,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-21,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-22,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-23,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-24,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-25,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-26,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-27,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-28,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-29,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-30,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-01,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-02,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-03,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-04,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-05,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-06,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-07,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-08,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-09,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-10,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-11,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-12,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-13,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-14,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-15,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-16,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-17,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-18,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-19,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-20,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-21,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-22,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-23,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-24,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-25,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-26,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-27,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-28,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-29,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-30,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-31,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-01,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-02,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-03,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-04,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-05,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-06,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-07,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-08,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-09,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-10,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-11,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-12,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-13,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-14,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-15,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-16,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-17,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-18,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-20,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-21,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-22,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-23,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-24,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-25,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-26,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-27,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-28,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-29,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-30,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-01,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-02,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-03,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-04,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-05,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-06,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-07,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-08,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-09,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-10,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-11,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-14,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-15,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-16,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-17,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-18,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-19,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-20,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-21,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-22,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-23,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-24,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-25,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-26,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-27,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-28,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-29,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-30,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-31,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-05,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-06,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-07,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-08,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-09,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-10,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-11,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-12,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-13,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-14,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-15,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-16,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-17,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-18,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-19,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-20,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-21,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-22,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-23,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-24,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-25,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-26,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-27,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-28,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-29,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-30,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-31,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-01,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-02,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-03,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-04,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-05,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-06,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-07,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-08,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-09,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-10,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-11,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-12,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-13,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-14,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-15,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-16,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-17,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-18,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-19,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-20,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-21,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-22,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-23,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-24,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-25,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-26,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-27,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-28,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-01,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-02,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-03,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-04,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-05,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-07,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-08,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-09,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-10,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-11,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-12,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-13,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-14,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-15,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-16,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-17,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-18,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-19,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-20,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-21,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-22,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-23,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-24,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-25,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-26,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-27,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-28,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-29,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-30,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-31,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-01,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-02,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-03,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-04,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-05,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-06,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-07,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-08,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-09,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-10,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-11,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-12,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-13,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-14,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-15,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-16,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-17,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-18,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-19,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-20,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-21,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-22,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-23,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-24,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-25,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-26,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-27,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-28,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-29,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-30,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-01,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-02,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-03,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-04,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-05,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-06,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-07,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-08,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-09,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-10,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-11,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-15,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-16,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-17,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-18,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-19,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-20,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-21,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-22,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-23,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-24,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-25,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-26,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-27,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-28,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-29,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-30,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-31,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-02,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-03,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-04,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-05,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-06,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-07,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-08,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-09,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-10,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-11,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-12,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-13,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-14,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-16,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-17,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-18,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-19,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-20,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-21,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-22,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-23,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-24,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-25,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-26,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-27,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-28,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-29,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-30,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-01,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-02,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-03,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-04,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-05,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-06,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-07,24.1947474747475,80.8686868686869,0,0.853454545454545,0.00593939393939394,11.9251919191919,443.413645810274,261.951222222222
2015-07-08,23.2775485,82.3431944444444,0.2032,1.76984027777778,0.00589583333333333,7.47952777777778,437.850513212357,246.881177304965
2015-07-09,26.4045833333333,65.0385069444444,0,2.38368055555556,0.00510416666666667,16.8161493055556,456.805736187437,669.301090252708
2015-07-10,25.2305902777778,69.7602083333333,0,1.96920486111111,0.00566666666666667,16.8472708333333,449.644253586851,571.501938848921
2015-07-11,23.1232986111111,81.5743402777778,0.762,1.98329513888889,0.00591666666666667,19.1073159722222,436.994416556149,592.451535971223
2015-07-12,22.0717361111111,84.3149652777778,5.6388,1.03811805555556,0.0058125,16.26078125,430.875962138604,501.080569892473
2015-07-13,23.3928121484814,85.2553205849269,14.0208,1.29909561304837,136.447766029246,24.7211811023622,438.863372891987,671.582288037166
